"year","id_country","fire_type","N","N_km","my_mean","year.y","month"
"201205","brazil","cumu",557385,119647.516078901,-0.344652520338877,"2012","05"
"201205","brazil","new",41,8.80100497723289,-0.344652520338877,"2012","05"
"201206","brazil","cumu",557505,119673.275117859,-0.345693977937011,"2012","06"
"201206","brazil","new",120,25.7590389577548,-0.345693977937011,"2012","06"
"201207","brazil","new",253,54.3086404692664,-0.378659732879028,"2012","07"
"201207","brazil","cumu",557758,119727.583758328,-0.378659732879028,"2012","07"
"201208","brazil","new",7187,1542.75177491153,-0.488944816478565,"2012","08"
"201208","brazil","cumu",564945,121270.33553324,-0.488944816478565,"2012","08"
"201209","brazil","new",7377,1583.53691992798,-0.47711445476407,"2012","09"
"201209","brazil","cumu",572322,122853.872453168,-0.47711445476407,"2012","09"
"201210","brazil","new",1187,254.799827023791,-0.833734163392153,"2012","10"
"201210","brazil","cumu",573509,123108.672280192,-0.833734163392153,"2012","10"
"201211","brazil","cumu",575734,123586.2877942,-1.06603530465358,"2012","11"
"201211","brazil","new",2225,477.61551400837,-1.06603530465358,"2012","11"
"201212","brazil","new",352,75.5598476094141,-1.15624761973744,"2012","12"
"201212","brazil","cumu",576086,123661.847641809,-1.15624761973744,"2012","12"
"201301","brazil","new",14,3.00522121173806,-1.00267487078256,"2013","01"
"201301","brazil","cumu",576100,123664.852863021,-1.00267487078256,"2013","01"
"201302","brazil","cumu",576251,123697.266320376,-0.816805576695562,"2013","02"
"201302","brazil","new",151,32.4134573551748,-0.816805576695562,"2013","02"
"201303","brazil","cumu",576278,123703.062104142,-0.619502088402125,"2013","03"
"201303","brazil","new",27,5.79578376549483,-0.619502088402125,"2013","03"
"201304","brazil","cumu",576310,123709.931181197,-0.625182131985316,"2013","04"
"201304","brazil","new",32,6.86907705540128,-0.625182131985316,"2013","04"
"201305","brazil","new",126,27.0469909056425,-0.527642568735696,"2013","05"
"201305","brazil","cumu",576436,123736.978172103,-0.527642568735696,"2013","05"
"201306","brazil","new",102,21.8951831140916,-0.499697097887595,"2013","06"
"201306","brazil","cumu",576538,123758.873355217,-0.499697097887595,"2013","06"
"201307","brazil","new",140,30.0522121173806,-0.307760000683507,"2013","07"
"201307","brazil","cumu",576678,123788.925567334,-0.307760000683507,"2013","07"
"201308","brazil","cumu",578093,124092.667568378,-0.217318737291267,"2013","08"
"201308","brazil","new",1415,303.742001043525,-0.217318737291267,"2013","08"
"201309","brazil","cumu",580071,124517.262393865,-0.219641767855554,"2013","09"
"201309","brazil","new",1978,424.594825486992,-0.219641767855554,"2013","09"
"201310","brazil","cumu",581416,124805.97828885,-0.28078948674223,"2013","10"
"201310","brazil","new",1345,288.715894984835,-0.28078948674223,"2013","10"
"201311","brazil","cumu",581572,124839.465039495,-0.173275692518715,"2013","11"
"201311","brazil","new",156,33.4867506450812,-0.173275692518715,"2013","11"
"201312","brazil","new",456,97.8843480394683,-0.407842122788743,"2013","12"
"201312","brazil","cumu",582028,124937.349387534,-0.407842122788743,"2013","12"
"201401","brazil","cumu",582108,124954.522080173,-0.415178201146907,"2014","01"
"201401","brazil","new",80,17.1726926385032,-0.415178201146907,"2014","01"
"201402","brazil","new",36,7.72771168732644,-0.228339219234089,"2014","02"
"201402","brazil","cumu",582144,124962.24979186,-0.228339219234089,"2014","02"
"201403","brazil","cumu",582424,125022.354216095,-0.0298157439457498,"2014","03"
"201403","brazil","new",280,60.1044242347612,-0.0298157439457498,"2014","03"
"201404","brazil","new",25,5.36646644953225,-0.152355000335404,"2014","04"
"201404","brazil","cumu",582449,125027.720682544,-0.152355000335404,"2014","04"
"201405","brazil","new",121,25.9736976157361,-0.25147463203232,"2014","05"
"201405","brazil","cumu",582570,125053.69438016,-0.25147463203232,"2014","05"
"201406","brazil","new",154,33.0574333291187,-0.316898053536186,"2014","06"
"201406","brazil","cumu",582724,125086.751813489,-0.316898053536186,"2014","06"
"201407","brazil","cumu",582976,125140.845795301,-0.379326403686429,"2014","07"
"201407","brazil","new",252,54.0939818112851,-0.379326403686429,"2014","07"
"201408","brazil","new",6625,1422.11360912605,-0.591843077982705,"2014","08"
"201408","brazil","cumu",589601,126562.959404427,-0.591843077982705,"2014","08"
"201409","brazil","new",3620,777.06434189227,-0.60537505168069,"2014","09"
"201409","brazil","cumu",593221,127340.023746319,-0.60537505168069,"2014","09"
"201410","brazil","cumu",595009,127723.833426789,-0.628299960251385,"2014","10"
"201410","brazil","new",1788,383.809680470547,-0.628299960251385,"2014","10"
"201411","brazil","new",480,103.036155831019,-0.815860359746513,"2014","11"
"201411","brazil","cumu",595489,127826.86958262,-0.815860359746513,"2014","11"
